latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-20.94545,46.39502,338.65,0.44,0.62,2023-04-14,1115,N20,VIIRS,n,2.0NRT,296.99,3.65,D
-20.94641,46.06135,332.01,0.42,0.61,2023-04-14,1115,N20,VIIRS,n,2.0NRT,298.34,2.93,D
-21.30986,44.68127,347.41,0.34,0.56,2023-04-14,1115,N20,VIIRS,n,2.0NRT,299.6,3.28,D
-20.66432,45.85681,347.61,0.41,0.61,2023-04-14,1115,N20,VIIRS,n,2.0NRT,293.57,4.8,D
-21.18876,44.42325,330.75,0.33,0.55,2023-04-14,1115,N20,VIIRS,n,2.0NRT,297.29,2.72,D
-20.40326,44.5565,349.14,0.35,0.56,2023-04-14,1117,N20,VIIRS,n,2.0NRT,299.15,4.9,D
-20.52499,45.54815,330.1,0.4,0.6,2023-04-14,1117,N20,VIIRS,n,2.0NRT,297.25,2.47,D
-20.64584,45.00844,335.66,0.37,0.58,2023-04-14,1117,N20,VIIRS,n,2.0NRT,299.67,7.7,D
-20.6466,45.00488,367,0.36,0.58,2023-04-14,1117,N20,VIIRS,h,2.0NRT,301.38,8.12,D
-20.77693,44.74938,336.64,0.35,0.57,2023-04-14,1117,N20,VIIRS,n,2.0NRT,299.68,2.15,D
-20.02372,45.85943,315.22,0.56,0.43,2023-04-14,2229,N20,VIIRS,n,2.0NRT,291.1,1.52,N
-20.88703,44.90803,342.91,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,305.78,12.21,D
-20.07365,44.83273,333.69,0.56,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.38,3.35,D
-20.07336,44.82936,331.91,0.56,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.95,4.28,D
-20.07038,44.97829,339.06,0.57,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.69,5.74,D
-20.34729,44.49539,333.06,0.53,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,299.6,10.55,D
-20.3494,44.49304,334.48,0.53,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.54,21.14,D
-20.36753,44.76803,338.92,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302,5.47,D
-20.48592,44.82721,347.04,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.99,10.74,D
-20.44661,45.13604,336.85,0.57,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.78,4.26,D
-20.83198,44.45563,333.3,0.52,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,303.75,4.45,D
-20.87094,44.45789,333.51,0.52,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,303.68,4.15,D
-20.87387,44.46357,335.79,0.52,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.58,5.89,D
-20.77223,45.07514,332.89,0.56,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,301.61,2.96,D
-20.93135,44.61843,333.74,0.53,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.44,6.57,D
-20.88798,44.90279,330.95,0.55,0.43,2023-04-15,1058,N20,VIIRS,l,2.0NRT,305.29,7.77,D
-20.88608,44.91328,344.32,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,306.71,12.21,D
-20.88998,44.91404,339.18,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,305.04,12.21,D
-20.89483,44.90956,338.67,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,306.54,6.64,D
-20.89388,44.91481,346.61,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.11,6.64,D
-20.91146,44.92933,333,0.55,0.43,2023-04-15,1058,N20,VIIRS,l,2.0NRT,304.59,6.34,D
-20.90774,44.97253,330.77,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,305.57,2.36,D
-20.91104,44.93155,337.99,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.17,9.73,D
-21.05363,44.47932,346.05,0.52,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.9,8.16,D
-21.03434,44.89714,330.06,0.54,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.5,2.78,D
-21.15763,45.21825,334.66,0.56,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,294.82,6.67,D
-21.25342,44.71264,331.53,0.53,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,301.13,2.12,D
-21.55649,46.26238,338,0.43,0.46,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.23,5.61,D
-21.55566,46.26665,340.03,0.43,0.46,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.25,5.61,D
-21.57554,46.38944,334.55,0.43,0.46,2023-04-15,1058,N20,VIIRS,n,2.0NRT,301.96,2.99,D
-21.91564,45.20216,341.31,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,301.13,6.18,D
-22.08494,44.45836,348.13,0.5,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.86,7.44,D
-22.1042,44.8091,331.2,0.52,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,301.29,3.15,D
-22.18939,44.70194,344.31,0.51,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.38,10.54,D
-22.19316,44.7027,337.65,0.51,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,304.85,12.21,D
-22.02859,45.65947,335.53,0.39,0.44,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.58,2.43,D
-22.26022,44.65543,333.03,0.51,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,306.33,5.04,D
-22.25935,44.66029,337.47,0.51,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,307.86,5.04,D
-22.25849,44.66515,339.96,0.51,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,309.22,11.63,D
-22.27482,44.661,335.12,0.51,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,305.07,4.59,D
-22.36667,44.47466,333.64,0.5,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.11,3.17,D
-22.35151,44.6461,348.95,0.51,0.41,2023-04-15,1058,N20,VIIRS,n,2.0NRT,307.04,12.7,D
-22.35064,44.65095,332.11,0.51,0.41,2023-04-15,1058,N20,VIIRS,l,2.0NRT,303.19,4.12,D
-22.30486,46.17768,335.04,0.41,0.45,2023-04-15,1058,N20,VIIRS,n,2.0NRT,299.79,4.07,D
-21.15414,45.68987,332.86,0.4,0.44,2023-04-15,1058,N20,VIIRS,n,2.0NRT,303.12,1.67,D
-21.32036,44.85673,330.47,0.54,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,299.42,1.77,D
-21.1857,45.63362,331.37,0.4,0.44,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.07,2.11,D
